,mtr_win over dof mean,coin_in over dof mean,mtr_win over hp mean,coin_in over hp mean,mtr_win over dof sum,coin_in over dof sum,mtr mean,coin_in mean,mtr sum,coin_in sum
post_comb,290.18308080808,2052.33134118967,0.18892684067126,1.44839706723799,19152.0833333333,135453.868518518,7834.94318181816,55412.9462121211,517106.249999999,3657254.44999999
pre_comb,190.816355661881,1562.30375199361,0.192620930598401,1.50498187351523,12593.8794736841,103112.047631578,14502.043030303,118735.085151515,957134.839999998,7836515.61999999
pre_moved_slots,312.159975328946,2101.0208018092,0.227573300865817,1.54401981698664,9989.11921052629,67232.6656578946,23724.1581249999,159677.580937499,759173.059999998,5109682.58999999
post_moved_slots,510.295787037036,3191.94001157407,0.238963644311478,1.47201520262276,16329.4651851851,102142.08037037,13777.9862499999,86182.3803124998,440895.559999999,2757836.16999999
pre_zone2_no_move_slots,76.6105959752321,1055.27594040247,0.154052797889527,1.4619055220985,2604.76026315789,35879.3819736842,5822.40529411764,80200.9714705882,197961.779999999,2726833.03
post_zone2_no_move_slots,83.0181808278867,979.758474945533,0.131741922225298,1.42140491251254,2822.61814814814,33311.7881481481,2241.49088235294,26453.4788235294,76210.69,899418.28
