,Time_Period,c_prop_cd,c_zone_id,c_serial_num,dof,coin_in,mtr_win,theo,hp,max_hp,days_in_time_period,slot_logistics,mtr_win over dof,coin_in over dof,mtr_win over hp,coin_in over hp
1647,Post,SAC,2,B170506133,27,118889.38,17091.03,15217.84064,80239,295488.0,30,moving,633.0011111111111,4403.310370370371,0.21300153292040028,1.481690699036628
1657,Post,SAC,2,MRXU005525,27,97104.48,10838.4499999999,13788.8361599999,55646,326592.0,30,moving,401.4240740740704,3596.462222222222,0.1947750062897585,1.7450397153434207
1666,Post,SAC,2,2492696,27,69189.6,12026.8599999999,10364.6020799999,56498,427680.0,30,moving,445.43925925925555,2562.577777777778,0.2128723140642129,1.224638040284612
1673,Post,SAC,2,2492697,27,62374.8,8101.01999999999,9343.74504,52406,427680.0,30,moving,300.0377777777774,2310.177777777778,0.15458191810098063,1.1902224936076022
1701,Post,SAC,2,B160874789,27,78690.5999999999,15030.49,11362.92264,62712,272160.0,30,moving,556.6848148148148,2914.466666666663,0.23967486286516138,1.2547933409873693
1718,Post,SAC,2,5141616,27,57236.04,11182.8,8528.16996,37723,295488.0,30,moving,414.17777777777775,2119.8533333333335,0.29644513957002355,1.5172716910107893
1720,Post,SAC,2,MRXU005527,27,91961.76,14418.4699999999,13012.5890399999,51307,330480.0,30,moving,534.0174074074037,3405.991111111111,0.2810234470929873,1.7923823259984017
1744,Post,SAC,2,5141618,27,73886.34,8632.73999999999,11009.0646599999,44268,295488.0,30,moving,319.73111111111075,2736.531111111111,0.19501084304689598,1.6690688533477906
1762,Post,SAC,2,5135142,27,82903.7999999999,13037.3199999999,10769.2036199999,60615,322704.0,30,moving,482.86370370369997,3070.5111111111073,0.2150840551018708,1.36771096263301
1816,Post,SAC,2,2492693,27,121492.2,19316.04,18199.53156,87433,427680.0,30,moving,715.4088888888889,4499.711111111111,0.22092390744913248,1.3895462811524253
1915,Post,SAC,2,2384808,27,65870.4,9051.05,8279.90928,47664,349920.0,30,moving,335.22407407407405,2439.644444444444,0.18989279120510236,1.381973816717019
